Site ID,GPS Alarm,GPSstatus,GPSphaselock,Satellite Count,Alpha_TB_MAC,Alpha_TB_IP,Beta_TB_MAC,Beta_TB_IP,Gamma_TB_MAC,Gamma_TB_IP,Alpha_MB_MAC,Alpha_MB_IP,Beta_MB_MAC,Beta_MB_IP,Gamma_MB_MAC,Gamma_MB_IP,BV95MAC,BV95IP,SITEBOSSMAC,SITEBOSSIP,K8S,VMWAREPORT,VMWAREMAC,VMWAREIP,BV201,BV311,BV318,BV323,SITEBOSSPORT,BMCPORT,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port13,Port14,Port15,Port18,Port19,Port24,Port27,Port29,Storm Control
CLFAY00584A,None-None,Available-Up,Phase Locked,9,34fe.9e3a.0a29,10.7.71.27,34fe.9e3a.0a19,10.7.71.29,34fe.9e3a.10cb,10.7.71.30,34fe.9e3a.0803,10.7.71.26,34fe.9e3a.05db,10.7.71.28,34fe.9e3a.079d,10.7.71.25,908d.6ef9.2496,10.145.21.178,0010.a3d1.480a,10.145.21.187,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,up,up,down,up,up,up,up,up,up,up,up,up,up,up,up,admin-down,up,% No such configuration item(s)
CLCLT00452A,None-None,Available-Up,Phase Locked,8,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,30d0.42da.176c,10.113.19.82,0010.a3d1.12cc,10.113.19.94,Port 14.311,14.96,40a6.b772.70bf,10.113.19.98,up,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,up,up,up,admin-down,up,storm-control unknown-unicast pps 5000
