site_id,ipv4
CLCLT00034A,10.112.15.147
CLCLT00035A,10.112.14.107
CLCLT00038A,10.112.15.83
CLCLT00039A,10.112.14.201
CLCLT00040A,10.112.14.108
CLCLT00041A,10.112.14.20
CLCLT00045A,10.112.14.138
CLCLT00047A,10.112.15.86
CLCLT00048A,10.112.14.51
CLCLT00049A,10.112.14.217
CLCLT00050A,10.112.15.39
CLCLT00051A,10.112.14.204
CLCLT00052A,10.96.89.226
CLCLT00053A,10.112.15.95
CLCLT00055A,10.112.14.205
CLCLT00057A,10.112.14.109
CLCLT00062A,10.112.14.206
CLCLT00063A,10.112.14.139
CLCLT00069A,10.112.15.116
CLCLT00077A,10.112.14.110
CLCLT00078A,10.112.14.140
CLCLT00079A,10.112.14.54
CLCLT00080A,10.112.14.111
CLCLT00081A,10.112.14.207
CLCLT00082A,10.112.14.112
CLCLT00084A,10.112.15.162
CLCLT00085A,10.112.14.141
CLCLT00086A,10.112.14.142
CLCLT00087A,10.112.14.113
CLCLT00089A,10.112.14.114
CLCLT00090A,10.112.14.143
CLCLT00091A,10.112.14.144
CLCLT00092A,10.112.15.67
CLCLT00093A,10.112.15.118
CLCLT00094A,10.112.14.145
CLCLT00096A,10.112.14.146
CLCLT00097A,10.112.14.147
CLCLT00098A,10.112.14.21
CLCLT00099A,10.112.14.115
CLCLT00100A,10.112.14.148
CLCLT00102A,10.112.14.149
CLCLT00103A,10.112.14.22
CLCLT00104A,10.112.14.208
CLCLT00108A,10.112.14.150
CLCLT00110A,10.112.15.124
CLCLT00111A,10.112.14.209
CLCLT00112A,10.112.14.210
CLCLT00113A,10.112.14.248
CLCLT00116A,10.112.14.211
CLCLT00117A,10.112.14.116
CLCLT00118A,10.112.14.117
CLCLT00120A,10.112.14.118
CLCLT00122A,10.112.14.151
CLCLT00123A,10.112.14.23
CLCLT00125A,10.112.14.24
CLCLT00126A,10.112.14.212
CLCLT00128A,10.112.14.25
CLCLT00129A,10.112.15.40
CLCLT00130A,10.112.14.152
CLCLT00131A,10.112.14.213
CLCLT00132A,10.112.15.120
