Site ID,Reachability Status
CLFAY00122A,NO
CLFAY00004A,YES
CLFAY00114A,NO
CLFAY00168A,NO
CLFAY00246A,NO
CLFAY00354A,NO
CLCHS00035A,NO
CLGSP00247A,NO
CLGSP00364A,YES
CLGSP00202A,NO
CLGSP00157A,NO
CLGSP00148A,NO
CLCHS00109A,YES
CLCHS00080A,NO
CLCHS00096A,NO
CLCHS00095A,NO
CLCHS00093A,NO
CLCHS00230A,NO
CLFAY00378A,YES
CLFAY00527A,NO
CLFAY00340A,YES
