Site ID,Reachability Status
CLRDU00225A,YES
CLRDU00226A,YES
CLRDU00227A,YES
CLRDU00228A,YES
CLRDU00230A,YES
CLRDU00231A,YES
CLRDU00232A,YES
CLRDU00233A,YES
CLRDU00234A,YES
CLRDU00235A,YES
CLRDU00236A,YES
CLRDU00237A,YES
CLRDU00238A,YES
CLRDU00239A,YES
CLRDU00240A,YES
CLRDU00241A,YES
CLRDU00242A,YES
